t,effective_alpha,miss_streak,mode
643,0.05,0,aci_clipped
644,0.05,0,aci_clipped
645,0.05,0,aci_clipped
646,0.05,0,aci_clipped
647,0.05,0,aci_clipped
648,0.05,0,aci_clipped
649,0.05,0,aci_clipped
650,0.05,0,aci_clipped
651,0.05,0,aci_clipped
652,0.05,0,aci_clipped
653,0.05,0,aci_clipped
654,0.05,0,aci_clipped
655,0.05,0,aci_clipped
656,0.05,0,aci_clipped
657,0.05,0,aci_clipped
658,0.05,0,aci_clipped
659,0.05,0,aci_clipped
660,0.05,0,aci_clipped
661,0.05,0,aci_clipped
662,0.05,0,aci_clipped
663,0.05,0,aci_clipped
664,0.05,0,aci_clipped
665,0.05,0,aci_clipped
666,0.05,0,aci_clipped
667,0.05,0,aci_clipped
668,0.05,0,aci_clipped
669,0.05,0,aci_clipped
670,0.05,0,aci_clipped
671,0.05,0,aci_clipped
672,0.05,0,aci_clipped
673,0.05,0,aci_clipped
674,0.05,0,aci_clipped
675,0.05,0,aci_clipped
676,0.05,0,aci_clipped
677,0.05,0,aci_clipped
678,0.05,0,aci_clipped
679,0.05,0,aci_clipped
680,0.05,0,aci_clipped
681,0.05,0,aci_clipped
682,0.05,0,aci_clipped
683,0.05,0,aci_clipped
684,0.05,0,aci_clipped
685,0.05,0,aci_clipped
686,0.05,0,aci_clipped
687,0.05,0,aci_clipped
688,0.05,0,aci_clipped
689,0.05,0,aci_clipped
690,0.05,0,aci_clipped
691,0.05,0,aci_clipped
692,0.05,0,aci_clipped
693,0.05,0,aci_clipped
694,0.05,0,aci_clipped
695,0.05,0,aci_clipped
696,0.05,0,aci_clipped
697,0.05,0,aci_clipped
698,0.05,0,aci_clipped
699,0.05,0,aci_clipped
700,0.05,0,aci_clipped
701,0.05,0,aci_clipped
702,0.05,0,aci_clipped
703,0.05,0,aci_clipped
704,0.05,0,aci_clipped
705,0.05,0,aci_clipped
706,0.05,0,aci_clipped
707,0.05,0,aci_clipped
708,0.05,0,aci_clipped
709,0.05,0,aci_clipped
710,0.05,0,aci_clipped
711,0.05,0,aci_clipped
712,0.05,0,aci_clipped
713,0.05,0,aci_clipped
714,0.05,0,aci_clipped
715,0.05,0,aci_clipped
716,0.05,0,aci_clipped
717,0.05,0,aci_clipped
718,0.05,0,aci_clipped
719,0.05,0,aci_clipped
720,0.05,0,aci_clipped
721,0.05,0,aci_clipped
722,0.05,0,aci_clipped
723,0.05,0,aci_clipped
724,0.05,0,aci_clipped
725,0.05,0,aci_clipped
726,0.05,0,aci_clipped
727,0.05,0,aci_clipped
728,0.05,0,aci_clipped
729,0.05,0,aci_clipped
730,0.05,0,aci_clipped
731,0.05,0,aci_clipped
732,0.05,0,aci_clipped
733,0.05,0,aci_clipped
734,0.05,0,aci_clipped
735,0.05,0,aci_clipped
736,0.05,0,aci_clipped
737,0.05,0,aci_clipped
738,0.05,0,aci_clipped
739,0.05,0,aci_clipped
740,0.05,0,aci_clipped
741,0.05,0,aci_clipped
742,0.05,0,aci_clipped
743,0.05,0,aci_clipped
744,0.05,0,aci_clipped
745,0.05,0,aci_clipped
746,0.05,0,aci_clipped
747,0.05,0,aci_clipped
748,0.05,0,aci_clipped
749,0.05,0,aci_clipped
750,0.05,0,aci_clipped
751,0.05,0,aci_clipped
752,0.05,0,aci_clipped
753,0.05,0,aci_clipped
754,0.05,0,aci_clipped
755,0.05,0,aci_clipped
756,0.05,0,aci_clipped
757,0.05,0,aci_clipped
758,0.05,0,aci_clipped
759,0.05,0,aci_clipped
760,0.05,0,aci_clipped
761,0.05,0,aci_clipped
762,0.05,0,aci_clipped
763,0.05,0,aci_clipped
764,0.05,0,aci_clipped
765,0.05,0,aci_clipped
766,0.05,0,aci_clipped
767,0.05,0,aci_clipped
768,0.05,0,aci_clipped
769,0.05,0,aci_clipped
770,0.05,0,aci_clipped
771,0.05,0,aci_clipped
772,0.05,0,aci_clipped
773,0.05,0,aci_clipped
774,0.05,0,aci_clipped
775,0.05,0,aci_clipped
776,0.05,0,aci_clipped
777,0.05,0,aci_clipped
778,0.05,0,aci_clipped
779,0.05,0,aci_clipped
780,0.05,0,aci_clipped
781,0.05,0,aci_clipped
782,0.05,0,aci_clipped
783,0.05,0,aci_clipped
784,0.05,0,aci_clipped
785,0.05,0,aci_clipped
786,0.05,0,aci_clipped
787,0.05,0,aci_clipped
788,0.05,0,aci_clipped
789,0.05,0,aci_clipped
790,0.05,0,aci_clipped
791,0.05,0,aci_clipped
792,0.05,0,aci_clipped
793,0.05,0,aci_clipped
794,0.05,0,aci_clipped
795,0.05,0,aci_clipped
796,0.05,0,aci_clipped
797,0.05,0,aci_clipped
798,0.05,0,aci_clipped
799,0.05,0,aci_clipped
800,0.05,0,aci_clipped
801,0.05,0,aci_clipped
802,0.05,0,aci_clipped
803,0.05,0,aci_clipped
804,0.05,0,aci_clipped
805,0.05,0,aci_clipped
806,0.05,0,aci_clipped
807,0.05,0,aci_clipped
808,0.05,0,aci_clipped
809,0.05,0,aci_clipped
810,0.05,0,aci_clipped
811,0.05,0,aci_clipped
812,0.05,0,aci_clipped
813,0.05,0,aci_clipped
814,0.05,0,aci_clipped
815,0.05,0,aci_clipped
816,0.05,0,aci_clipped
817,0.05,0,aci_clipped
818,0.05,0,aci_clipped
819,0.05,0,aci_clipped
820,0.05,0,aci_clipped
821,0.05,0,aci_clipped
822,0.05,0,aci_clipped
823,0.05,0,aci_clipped
824,0.05,0,aci_clipped
825,0.05,0,aci_clipped
826,0.05,0,aci_clipped
827,0.05,0,aci_clipped
828,0.05,0,aci_clipped
829,0.05,0,aci_clipped
830,0.05,0,aci_clipped
831,0.05,0,aci_clipped
832,0.05,0,aci_clipped
833,0.05,0,aci_clipped
834,0.05,0,aci_clipped
835,0.05,0,aci_clipped
836,0.05,0,aci_clipped
837,0.05,0,aci_clipped
838,0.05,0,aci_clipped
839,0.05,0,aci_clipped
840,0.05,0,aci_clipped
841,0.05,0,aci_clipped
842,0.05,0,aci_clipped
843,0.05,0,aci_clipped
844,0.05,0,aci_clipped
845,0.05,0,aci_clipped
846,0.05,0,aci_clipped
847,0.05,0,aci_clipped
848,0.05,0,aci_clipped
849,0.05,0,aci_clipped
850,0.05,0,aci_clipped
851,0.05,0,aci_clipped
852,0.05,0,aci_clipped
853,0.05,0,aci_clipped
854,0.05,0,aci_clipped
855,0.05,0,aci_clipped
856,0.05,0,aci_clipped
857,0.05,0,aci_clipped
858,0.05,0,aci_clipped
859,0.05,0,aci_clipped
860,0.05,0,aci_clipped
861,0.05,0,aci_clipped
862,0.05,0,aci_clipped
863,0.05,0,aci_clipped
864,0.05,0,aci_clipped
865,0.05,0,aci_clipped
866,0.05,0,aci_clipped
867,0.05,0,aci_clipped
868,0.05,0,aci_clipped
869,0.05,0,aci_clipped
870,0.05,0,aci_clipped
871,0.05,0,aci_clipped
872,0.05,0,aci_clipped
873,0.05,0,aci_clipped
874,0.05,0,aci_clipped
875,0.05,0,aci_clipped
876,0.05,0,aci_clipped
877,0.05,0,aci_clipped
878,0.05,0,aci_clipped
879,0.05,0,aci_clipped
880,0.05,0,aci_clipped
881,0.05,0,aci_clipped
882,0.05,0,aci_clipped
883,0.05,0,aci_clipped
884,0.05,0,aci_clipped
885,0.05,0,aci_clipped
886,0.05,0,aci_clipped
887,0.05,0,aci_clipped
888,0.05,0,aci_clipped
889,0.05,0,aci_clipped
890,0.05,0,aci_clipped
891,0.05,0,aci_clipped
892,0.05,0,aci_clipped
893,0.07,1,aci_clipped
894,0.094,2,aci_clipped
895,0.122,3,aci_clipped
896,0.154,4,aci_clipped
897,0.134,0,aci_clipped
898,0.114,0,aci_clipped
899,0.094,0,aci_clipped
900,0.074,0,aci_clipped
901,0.05399999999999999,0,aci_clipped
902,0.05,0,aci_clipped
903,0.05,0,aci_clipped
904,0.05,0,aci_clipped
905,0.07,1,aci_clipped
906,0.05,0,aci_clipped
907,0.07,1,aci_clipped
908,0.05,0,aci_clipped
909,0.05,0,aci_clipped
910,0.05,0,aci_clipped
911,0.05,0,aci_clipped
912,0.05,0,aci_clipped
913,0.05,0,aci_clipped
914,0.05,0,aci_clipped
915,0.05,0,aci_clipped
916,0.05,0,aci_clipped
917,0.05,0,aci_clipped
918,0.05,0,aci_clipped
919,0.05,0,aci_clipped
920,0.05,0,aci_clipped
921,0.05,0,aci_clipped
922,0.05,0,aci_clipped
